,name,region,Published,End
7819,contractors to administer its Landscape and Holiday Street Decor Programs,Wisconsin,06/21/2021,08/16/2021
7820,Goshen County School District No. 1 Southeast School Intercom Replacement,Wyoming,06/21/2021,07/07/2021
7821,FOOD DISTRIBUTION FOR THE MSBSD,Alaska,06/21/2021,07/08/2021
7822,Notice of Request for Proposals (RFP) for Luggage Cart Rental Concession Opportunity,Minnesota,06/21/2021,07/16/2021
7823,Request for Proposals for Architectural/Engineering Services,Minnesota,06/21/2021,Not Stated
7824,American Legion Building Entry Ramp,Massachusetts,06/21/2021,07/15/2021
7825,Liquid Chlorine,Texas,06/21/2021,07/15/2021
7826,2021 PPII REDUCTION PROGRAM,Wisconsin,06/21/2021,07/07/2021
7827,2021 Blackthorne Pl. Watermain Replacement,Wisconsin,06/21/2021,07/02/2021
7828,HSIP Pedestrian Improvements at Signalized Intersections Phase 1B,Virginia,06/21/2021,07/15/2021
7829,Tax Assessor RFP 2021,Maine,06/21/2021,07/15/2021
7830,2020 North Beach Sewer Main Replacement Project New Jersey Environmental I-Bank Program,New Jersey,06/21/2021,07/15/2021
7831,Radiant Heat System Replacement at Sigourney Maintenance Garage,Iowa,06/21/2021,07/14/2021
7832,Ciccone Theatre Roof Replacement,New Jersey,06/21/2021,07/15/2021
7833,Fire Extinguisher Services,Texas,06/21/2021,07/15/2021
7834,2021 Sanitary Sewer Main Replacement Project 9th Street,New Jersey,06/21/2021,07/15/2021
7835,"Corridor signalization, coordination, and optimization.(Preliminary and Final Design) QUALIFICATIONS-BASED SELECTION CONTRACT",New Hampshire,06/21/2021,07/15/2021
7836,4X4 All Wheel Drive Dual Engine Cab Fwd Chassis w/ Rotary Power Broom,New York,06/21/2021,07/15/2021
7837,"Resurfacing and Associated Repairs to Oak Branch Road, Pinehurst Drive, Piney Branch Road and Warren Drive",New Jersey,06/21/2021,07/15/2021
7838,2021-2022 Culvert Lining Project,Washington,06/21/2021,07/14/2021
7839,Professional Grant Writing Services,Alaska,06/21/2021,07/14/2021
7840,DIGITAL RADIOGRAPHY SYSTEM,Alabama,06/21/2021,07/14/2021
7841,FURNISH THE AGENCY WITH SODIUM BISULFITE SOLUTION (SBS),California,06/21/2021,07/12/2021
7842,2021 Fog Seal,California,06/21/2021,07/14/2021
7843,"COMMUNITY IMPROVEMENT DISTRICT (CID) FEASIBILITY STUDY FOR CLAYTON COUNTY, GEORGIA",Georgia,06/21/2021,07/14/2021
7844,Technology for Solid Waste Equipment,Arizona,06/21/2021,07/14/2021
7845,STUDENT TELEHEALTH SERVICES,Illinois,06/21/2021,07/14/2021
7846,2021 TELEHEALTH SERVICES,Illinois,06/21/2021,07/14/2021
7847,DENTAL GOWNS,Louisiana,06/21/2021,07/14/2021
7848,Rebid of Pennick Road Construction Project 2021,Georgia,06/21/2021,07/20/2021
7849,Security Services,Washington,06/21/2021,07/20/2021
7850,Construction of a booster pump station,Virginia,06/21/2021,07/14/2021
7851,HOT MIX,Texas,06/21/2021,07/20/2021
7852,Restoration of Historical Monument,New York,06/21/2021,07/14/2021
7853,RECREATION PROPERTIES FENCING REPLACEMENT AND MAINTENANCE,Vermont,06/21/2021,07/07/2021
7854,403(b) Assessment Services,South Carolina,06/21/2021,07/14/2021
7855,Church Street Extension/Trout Creek Restoration Reaches 4 & 5 Project,California,06/21/2021,07/14/2021
7856,Furnish & Install UPS Batteries,New York,06/21/2021,07/14/2021
7857,Operation Of The Concession At Town Hall Complex (Café And Restaurant),New York,06/21/2021,07/14/2021
7858,2021 WATER & WASTEWATER MATERIALS,New Jersey,06/21/2021,07/14/2021
7859,PLANT INFRASTRUCTURE REPAIRS ON AN AS NEEDED BASIS FOR A TWO (2) YEAR PERIOD,New Jersey,06/21/2021,07/14/2021
7860,WEST HIGH AND NORTH JAMESON SEWER REHABILITATION PROJECT,Ohio,06/21/2021,07/14/2021
7861,LIBERTY MUNICIPAL AIRPORT,Texas,06/21/2021,07/13/2021
7862,Precision GPS Hi-Rail Vehicle Installations,Alaska,06/21/2021,07/13/2021
7863,MERRILL PARK DUGOUT SHELTER REPLACEMENT,Florida,06/21/2021,07/14/2021
7864,New Town Center Multi-Use Path Scoping Study,Vermont,06/21/2021,07/12/2021
7865,"Natural Gas Utility Infrastructure Improvements for Indian Rock Village, AMP 210 and Hunt Manor, AMP 259",Virginia,06/21/2021,07/13/2021
7866,FPCM-HDSP-I001066-002-DA (ROOFING),California,06/21/2021,07/23/2021
7867,PROJECT BULLDOG WATER UTILITIES,Mississippi,06/21/2021,07/29/2021
7868,ENGINEERING SERVICES FOR INTERCHANGE IMPROVEMENTS AT INTERSTATE 182/ROAD 100,Washington,06/21/2021,07/13/2021
7869,Soil Born Farms Parking Lot Improvement Project,California,06/21/2021,07/13/2021
7870,CONCRETE CURB AND GUTTER 12 MOS SUP- PLY,Mississippi,06/21/2021,07/20/2021
7871,RIVERWALK SEWER LINING PHASE 2,Minnesota,06/21/2021,07/13/2021
7872,STUDENT ATHLETE POSITIONAL TRACKING SYSTEM,Mississippi,06/21/2021,07/21/2021
7873,EMERGENCY GO-KITS,New Mexico,06/21/2021,07/13/2021
7874,Re-Bid - Non-Emergency Medical Assistance Transportation Services,Maryland,06/21/2021,07/06/2021
7875,DTN Perimeter Fence,Louisiana,06/21/2021,07/22/2021
7876,Construction Mgmt Services,Arkansas,06/21/2021,07/13/2021
7877,RFP - CLINICAL PATHOLOGY LAB SERVICES,Oklahoma,06/21/2021,07/30/2021
7878,White Oak Technology Park - Forestry Consulting and Timber Harvesting Services,Virginia,06/21/2021,07/13/2021
7879,CONSTRUCT MODULAR TRAILER FOR PARKING SERVICES AND RECYCLING,Nevada,06/21/2021,07/22/2021
7880,New College-wide Enterprise Resource Planning System,Florida,06/21/2021,07/13/2021
7881,PIPE CULVERTS,Iowa,06/21/2021,07/20/2021
7882,Laredo Police Department,Texas,06/21/2021,07/07/2021
7883,REVETMENT,Iowa,06/21/2021,07/20/2021
7884,Public Opinion Polling & Related Services,New Mexico,06/21/2021,07/27/2021
7885,South Maui District Resurfacing (FY2021),Hawaii,06/21/2021,07/28/2021
7886,"GRADING, BRIDGE & SURFACING",Kansas,06/21/2021,07/21/2021
7887,"GRADING, BRIDGE AND SURFACING",Kansas,06/21/2021,07/21/2021
7888,CRACK REPAIR (ASPHALT). US183 FR SCL LACROSSE TO RH/EL CO LI IN RH CO. LGTH 12.060 M.,Kansas,06/21/2021,07/21/2021
7889,CRACK REPAIR (ASPHALT),Kansas,06/21/2021,07/21/2021
7890,CRACK REPAIR,Kansas,06/21/2021,07/21/2021
7891,REVETMENT,Iowa,06/21/2021,07/20/2021
7892,PARADISE WAY EXTENSION PHASE 4 PROJECT,Washington,06/21/2021,07/13/2021
7893,CRACK REPAIR,Kansas,06/21/2021,07/21/2021
7894,"Project 2500.RESD.Exposition Park Elevator Repairs, Office of Exposition Park Management, Los Angeles, Los Angeles County, CA",California,06/21/2021,07/27/2021
7895,GRADING AND SURFACING,Kansas,06/21/2021,07/21/2021
7896,GRADING AND SURFACING,Kansas,06/21/2021,07/21/2021
7897,LIGHTING,Iowa,06/21/2021,07/20/2021
7898,MILLING,Kansas,06/21/2021,07/21/2021
7899,"2021-2022(P4) Battery Energy Storage Project Multiple Sites (""IOR"")",California,06/21/2021,07/13/2021
7900,MILLING,Kansas,06/21/2021,07/21/2021
7901,CRACK REPAIR (ASPHALT),Kansas,06/21/2021,07/21/2021
7902,Student Transportation Services-Athletic Fall Sports,New Jersey,06/21/2021,07/13/2021
7903,Mobility Solutions & Customer Care Center Construction Project,Indiana,06/21/2021,07/13/2021
7904,PAVEMENT MARKING,Kansas,06/21/2021,07/21/2021
7905,SQUILCHUCK OUTFALL PHASE 2,Washington,06/21/2021,07/13/2021
7906,"GRADING, BRIDGE AND SURFACING",Kansas,06/21/2021,07/21/2021
7907,RESIDENTIAL OFF-GROUNDS: MONROE REGION,Louisiana,06/21/2021,07/29/2021
7908,Pest Control Services,Michigan,06/21/2021,07/30/2021
7909,Crew Cab & Chassis with 12' Flat Bed Dump Body,Arkansas,06/21/2021,07/13/2021
7910,"PEARL RIVER VALLEY WATER SUPPLY DISTRICT DREDGING OPERATIONS, PE",Mississippi,06/21/2021,07/13/2021
7911,D-Wing First Floor Access Control Installation Rebid,New Jersey,06/21/2021,07/13/2021
7912,Grounds Maintenance for City Parks,Florida,06/21/2021,08/12/2021
7913,Financing for the Acquisition of Various Vehicles and Equipment,New Jersey,06/21/2021,07/13/2021
7914,Legal Case Management System,Montana,06/21/2021,07/30/2021
7915,Construction Project West Point,Georgia,06/21/2021,07/23/2021
7916,A&E-Land Surveying Services,California,06/21/2021,07/22/2021
7917,*Rebid* Chiller Preventive Maint. - DMA,Louisiana,06/21/2021,07/13/2021
7918,RFP General Legal Services,Michigan,06/21/2021,07/23/2021
7919,ENGINEERING SERVICES FOR PVWC NOSENZO POND WELLHOUSE,New Jersey,06/21/2021,07/13/2021
7920,ROCK ROAD IMPROVEMENTS PROJECT,New Jersey,06/21/2021,07/13/2021
7921,2021 BIODEGRADABLE & RECYCLABLE LEAF BAGS,New Jersey,06/21/2021,07/13/2021
7922,"SIDEWALK IMPROVEMENTS. VAR LOC IN LV, OS, JA, MS, PT, WS, LC, SM, CR, MG, HP, KW AND CM COUNTIES.",Kansas,06/21/2021,07/21/2021
7923,Public Safety Dispatch & Police Records Management Solution,Washington,06/21/2021,07/27/2021
7924,PAVEMENT MARKING,Kansas,06/21/2021,07/21/2021
7925,"MEMBRANE CLEANING CHEMICALS, PURCHASE AND DELIVERY",Florida,06/21/2021,07/12/2021
7926,PAVEMENT MARKING,Kansas,06/21/2021,07/21/2021
7927,MPS - RFQ - BP 2 - District Wide Bottle Filler Stations @ Southwest Locations,Wisconsin,06/21/2021,07/13/2021
7928,PAVEMENT MARKING,Kansas,06/21/2021,07/21/2021
7929,PAVEMENT MARKING,Kansas,06/21/2021,07/21/2021
7930,CONSUMABLES FOR OMNILOG MICROBIAL IDENTIFICATION SYSTEM: (ALL OR NONE),Alabama,06/21/2021,07/12/2021
7931,BRIDGE REPAIR,Kansas,06/21/2021,07/21/2021
7932,BRIDGE REPAIR,Kansas,06/21/2021,07/21/2021
7933,Snack Vending Services,North Carolina,06/21/2021,07/20/2021
7934,Hamilton County Highway Department - 281st Street Rehabilitation from SR 19 to Rulon Road,Indiana,06/21/2021,07/16/2021
7935,SUPPLEMENTAL CURRICULUM FOR ELEMENTARY ENGLISH LANGUAGE LEARNERS,New Mexico,06/21/2021,07/12/2021
7936,Remodel of (2) two efficiency apartments,Illinois,06/21/2021,07/19/2021
7937,SUFDPK NYS Program App Packet,New York,06/21/2021,07/12/2021
7938,CONSTRUCTION MANAGEMENT SERVICES FOR CITY OF VINELAND NEW FIRE STATION,New Jersey,06/21/2021,07/16/2021
7939,Sumter County Vending Machine Services,Florida,06/21/2021,07/19/2021
7940,Security Guard Services,Kansas,06/21/2021,07/16/2021
7941,Universal Pre-Kindergarten (UPK) Services,New York,06/21/2021,07/12/2021
7942,Armored Car Services,Texas,06/21/2021,07/16/2021
7943,Annual Contract for Personal Protective Equipment (PPE) Supplies,Texas,06/21/2021,07/12/2021
7944,15kV Triplex Cable,Washington,06/21/2021,07/01/2021
7945,4234 / DIGITIZATION PROJECT,California,06/21/2021,07/12/2021
7946,SNOW REMOVAL SERVICES 2021-2023,New Jersey,06/21/2021,07/13/2021
7947,Audit Services,New Jersey,06/21/2021,07/13/2021
7948,Plumbing Maintenance and Repair Services,California,06/21/2021,07/14/2021
7949,Rd Constr. at Greenhouse Rd. 5 South of Cornerstone Arbor Dr.to S of Cypress N. Houston Rd (BONFIRE),Texas,06/21/2021,07/12/2021
7950,"Fencing - Installation, Maintenance, and Repairs - Annual Contract",Florida,06/21/2021,07/14/2021
7951,Lawn Care Services 2021,Missouri,06/21/2021,07/13/2021
7952,Drainage Improvements at Water Control and Improvement District 50 (2020) for Harris County Precinct 2,Texas,06/21/2021,07/12/2021
7953,Paint Striping Of Various Roads at the Lyons Camp Area and Related Items (BONFIRE),Texas,06/21/2021,07/12/2021
7954,Marin Community Response Teams,California,06/21/2021,07/09/2021
7955,Marketing & Advertising Services for City of College Station,Texas,06/21/2021,07/12/2021
7956,Trash and waste removal,Illinois,06/21/2021,07/12/2021
7957,PANASONIC TOUGHBOOK & ACCESSORIES,New York,06/21/2021,07/12/2021
7958,Housing-Roof Replacement Program,Ohio,06/21/2021,07/12/2021
7959,"Fairbanks Correctional Center (FCC), Generator Upgrade",Alaska,06/21/2021,07/09/2021
7960,Objective Development Standards for Single and Multi-Family Residential Development in Unincorporated Alameda County,California,06/21/2021,07/09/2021
7961,RFB - Heavy Equipment Rental,California,06/21/2021,07/09/2021
7962,Village Safe Water Program,Alaska,06/21/2021,07/09/2021
7963,Printing and Delivery of 2021 W-2 Wage and Tax Statements,California,06/21/2021,07/09/2021
7964,RFP- Professional Videographer Services for Pueblo Food Project,Colorado,06/21/2021,07/09/2021
7965,Debt Collection Services,California,06/21/2021,07/09/2021
7966,Community Solar Garden for MDVA,Minnesota,06/21/2021,07/09/2021
7967,Pottery Lift Station Piping Replacement Project,Washington,06/21/2021,07/02/2021
7968,Healthcare Staffing and Technology (Restated and Revised),New Mexico,06/21/2021,07/09/2021
7969,RFQ - Request For Qualifications For Engineering Services. The Town of Hempstead (the “Town”) requires the services of professional engineering firms for various tasks throughout the Town’s departments,New York,06/21/2021,07/09/2021
7970,Ford F-250 250 XL Supercab & Chassis with Utility Body Vehicle,Florida,06/21/2021,07/09/2021
7971,Electrical Service Modification,Texas,06/21/2021,08/05/2021
7972,Mowing of Major Thoroughfares & Sidewalk Edging,Florida,06/21/2021,07/09/2021
7973,Parking Lot Sealing and Striping-Cattaraugus County Center-Olean,New York,06/21/2021,07/09/2021
7974,REPLACEMENT OF HVAC UNITS,Tennessee,06/21/2021,07/09/2021
7975,"Remove and replace culvert with 7 foot by 6 foot precast culvert and 30 foot by 9.5 foot precast culvert, drainage improvements, signing and pavement markings on Fish Lake Road over Patterson-Holly Drain",Michigan,06/21/2021,07/09/2021
7976,Invitation To Bid - Pickup Truck for Snow Removal,Illinois,06/21/2021,07/09/2021
7977,"0.13 mi of hot mix asphalt reconstruction, storm sewer, earthwork, concrete sidewalk and ramps and pavement markings on 3rd Street and Broad Street from 4th Street to Central Street in the city of Dexter",Michigan,06/21/2021,07/09/2021
7978,"4.30 mi of hot mix asphalt cold milling and resurfacing, concrete pavement and joint repairs and pavement markings on I-69 at Bristol Road and Miller Road and US-23 at Fenton Rest Area in the cities of",Michigan,06/21/2021,07/09/2021
7979,Tractor for Snow Removal,Illinois,06/21/2021,07/09/2021
7980,Engineering Services for Nashua River Riverbank Stabilization Project,Massachusetts,06/21/2021,07/08/2021
7981,Design and installation of playground equipment at Lions Park,Illinois,06/21/2021,07/09/2021
7982,"Architectural and Engineering design-work, for the construction of a 30-unit LIHTC funded apartment complex",Washington,06/21/2021,07/08/2021
7983,Lincolnwood Police Range Renovation,Illinois,06/21/2021,07/09/2021
7984,THEODORE ROOSEVELT MONUMENT LIGHTING IMPROVEMENTS,New Jersey,06/21/2021,07/09/2021
7985,2021 Cherry St Improvements,Ohio,06/21/2021,07/09/2021
7986,Well No. 4 Abandonment,Illinois,06/21/2021,07/09/2021
7987,"Hot mix asphalt base crush, shape and resurface, aggregate shoulder, concrete curb and gutter and pavement markings",Michigan,06/21/2021,07/09/2021
7988,"Hot mix asphalt cold milling and resurfacing, aggregate shoulders, culvert replacements and pavement markings",Michigan,06/21/2021,07/09/2021
7989,"Hot mix asphalt reconstruction, concrete sidewalk, drainage, signing and pavement markings",Michigan,06/21/2021,07/09/2021
7990,"Hot mix asphalt resurfacing, concrete curb and gutter, guardrail and pavement markings",Michigan,06/21/2021,07/09/2021
7991,"Hot mix asphalt cold milling and resurfacing, centerline corrugations, detail 7 joint repairs and pavement markings",Michigan,06/21/2021,07/09/2021
7992,"Bridge replacement with a geosynthetic reinforced soil abutment, 17 inch prestressed concrete beams and approach work on 70th Avenue over Crocker Creek, Osceola County",Michigan,06/21/2021,07/09/2021
7993,"Hot mix asphalt reconstruction, concrete curb, gutter and sidewalk ramps, watermain, signing and pavement markings",Michigan,06/21/2021,07/09/2021
7994,"Hot mix asphalt resurfacing, concrete curb and gutter, sidewalk, sidewalk ramp, drainage, sewer, water main, signing and pavement markings",Michigan,06/21/2021,07/09/2021
7995,4160v Main Switch Gear Maintenance Services,California,06/21/2021,07/08/2021
7996,Purchase of New Polaris Rangers,Washington,06/21/2021,Not Stated
7997,"Hot mix asphalt reconstruction, concrete curb, gutter, sidewalk and ramps, signing and pavement markings",Michigan,06/21/2021,07/09/2021
7998,"Concrete rubblizing hot mix asphalt surfacing, culvert replacement, guardrail, signing and pavement markings",Michigan,06/21/2021,07/09/2021
7999,"3.10 mi of concrete reconstruction, curb, gutter, sidewalk and ramps, bridge replacement, traffic signals optimized using GPS coordination and and pavement markings on Okemos Road from Jolly Road to Central",Michigan,06/21/2021,07/09/2021
8000,Hot mix asphalt overband crack fill and detail 7 joint repairs,Michigan,06/21/2021,07/09/2021
8001,"Construct roundabout includes hot mix asphalt surfacing, concrete curb and gutter, sidewalk, sidewalk ramps, drainage, culverts, sewer, and pavement markings",Michigan,06/21/2021,07/09/2021
8002,"Hot mix asphalt cold milling and resurfacing, concrete pavement repair, sidewalk ramps and pavement markings",Michigan,06/21/2021,07/09/2021
8003,"Hot mix asphalt base crushing, shaping and resurfacing, culvert replacement, guardrail and pavement markings",Michigan,06/21/2021,07/09/2021
8004,LEASE OF REAL PROPERTY TENNIS COURTS,New Jersey,06/21/2021,07/09/2021
8005,NYS M/WBE and SDVOB firms for Water Authority of Great Neck North - Emerging Contaminant Treatment,New York,06/21/2021,07/09/2021
8006,SOUTH US95 SEWER/WATER EXTENSION,Idaho,06/21/2021,07/06/2021
8007,Public Opinion Survey on Tourism Management for Community Development Department (CDD),Alaska,06/21/2021,07/08/2021
8008,"Litter and Debris Removal Services in Monterey, Santa Cruz, San Luis Obispo, and Santa Barbara Counties",California,06/21/2021,07/08/2021
8009,Litter and Debris Removal in Orange County,California,06/21/2021,07/08/2021
8010,Litter and Debris Removal in Los Angeles and Kern Counties,California,06/21/2021,07/08/2021
8011,Litter and Debris Removal in Ventura and Los Angeles Counties,California,06/21/2021,07/08/2021
8012,Youth Court Diversion Services Program,California,06/21/2021,07/08/2021
8013,Crane Services,Texas,06/21/2021,07/08/2021
8014,Clerk of Courts office and special audits,Pennsylvania,06/21/2021,07/08/2021
8015,Assessible Pedestrian Signal Equipment,Minnesota,06/21/2021,07/08/2021
8016,Boat Motor,Kansas,06/21/2021,07/08/2021
8017,Annual Contract for Structural Demolition Services,Virginia,06/21/2021,07/08/2021
8018,Repair Building Envelope at Stassen Building,Minnesota,06/21/2021,07/08/2021
8019,Antifreeze Fully Formulated Premixed 50/50,Illinois,06/21/2021,07/08/2021
8020,MISCELLANEOUS ENGINEERING SERVICES SITES: ALL HOUSING AUTHORITY OF THE CITY OF ELIZABETH SITES AND PROPERTIES,New Jersey,06/21/2021,07/08/2021
8021,Indefinite Quantity Contract for Electrical Engineering Services 2021,South Carolina,06/21/2021,07/08/2021
8022,Indefinite Quantity Contract for Architect Services 2021,South Carolina,06/21/2021,07/08/2021
8023,Indefinite Quantity Contract for Mechanical Engineering Services 2021,South Carolina,06/21/2021,07/08/2021
8024,Indefinite Quantity Contract for Building Envelope Engineering Services 2021,South Carolina,06/21/2021,07/08/2021
8025,MDVA Supplemental Dietary Staff - Silver Bay,Minnesota,06/21/2021,07/08/2021
8026,MDVA Supplemental Dietary Staff - Silver Bay,Minnesota,06/21/2021,07/08/2021
8027,One-Hundred and Sixty (160) Streetlight Utility Post-Top Luminaires (4615),North Dakota,06/21/2021,07/08/2021
8028,Construction of a habitat enhancement project on the Walla Walla River,Washington,06/21/2021,07/16/2021
8029,Hialeah Entrance Feature at NW 97th Ave & 170th St,Florida,06/21/2021,07/08/2021
8030,Cary Grove Park Aquatic Facility - Bid Release 1A,Illinois,06/21/2021,07/08/2021
8031,2021 FURNISHING & DELIVERY OF ROAD MATERIALS,New Jersey,06/21/2021,07/08/2021
8032,Water Meter Equipment F.Y. 2022-2024,Massachusetts,06/21/2021,07/08/2021
8033,Veteran's Park Drainage Improvements,New Jersey,06/21/2021,07/08/2021
8034,Contract Management Solution Software,South Carolina,06/21/2021,07/08/2021
8035,UAF IFB Bristol Bay Campus Exterior Improvements,Alaska,06/21/2021,07/07/2021
8036,Two (2): 2021 Chevrolet Silverado 2500 HD,New York,06/21/2021,07/08/2021
8037,Community Development Office Construction Specialist,Connecticut,06/21/2021,07/08/2021
8038,CERTIFIED NFPA 1975 & 1977 FATIGUE PANTS - SUPPLY AGREEMENT,Texas,06/21/2021,07/08/2021
8039,MULTI-GEN PARKING LOT,Nevada,06/21/2021,07/07/2021
8040,INKJET PRINTER FOR SIGN MAKING,Alabama,06/21/2021,07/07/2021
8041,Food Service Provider to supply and deliver product,Alaska,06/21/2021,07/07/2021
8042,one-time clean up and landscape maintenance San Jose DMV field office,California,06/21/2021,07/07/2021
8043,"ANNUAL PRICE AGREEMENT FOR OILS, LUBRICANTS, AND ANTIFREEZE",Texas,06/21/2021,07/07/2021
8044,LBUSD FAC04-2122 Addams ES Portable Roof Restoration,California,06/21/2021,07/07/2021
8045,Telephone Services,Texas,06/21/2021,07/07/2021
8046,Cloud/Web Based Mobile Friendly Cemetery Management Software,New York,06/21/2021,07/07/2021
8047,Replacement of Herbert F. Paine Memorial Park Tennis Courts,Rhode Island,06/21/2021,07/07/2021
8048,Provide Covid-19 Testing (AHD),Alaska,06/21/2021,07/07/2021
8049,STUDENT TRANSPORTATION SERVICES 2021-2022 School Year,New Jersey,06/21/2021,07/07/2021
8050,Route 106 Utility Improvements Phase 2,Virginia,06/21/2021,07/07/2021
8051,OFAM.Garage Cleaning Sacramento,California,06/21/2021,07/06/2021
8052,GRUENING PARK LIFT STATION STAND-ALONE LIFT STATION,Alaska,06/21/2021,07/06/2021
8053,JJL – Fire Tank Design/Built,Texas,06/21/2021,07/06/2021
8054,Roof Replacement Maintenance Building,Missouri,06/21/2021,07/06/2021
8055,NURSING SERVICES FOR AN INTERMEDIATE CARE FACILITY,Virginia,06/21/2021,07/06/2021
8056,PSYCHOLOGY SERVICES FOR AN INTERMEDIATE CARE FACILITY,Virginia,06/21/2021,07/06/2021
8057,Mobile Command Center Vehicle,North Carolina,06/21/2021,07/06/2021
8058,Morphy Av Substation site Work,Alabama,06/21/2021,07/06/2021
8059,"One (1) 15,000 Gallon Vertical Cryogenic Storage Tank",Virginia,06/21/2021,07/02/2021
8060,Waste Water Treatment Plant Clarifier Repairs,California,06/21/2021,07/21/2021
8061,Human Resources Information Systems Software,Texas,06/21/2021,07/06/2021
8062,Sybase PowerBuilder Consultant,Minnesota,06/21/2021,07/02/2021
8063,Building Maintenance Services for Wildlife Waystation,California,06/21/2021,07/02/2021
8064,RE-BID Confidential Document Shredding and Recycling Services for Region iv,California,06/21/2021,07/02/2021
8065,"Auto Parts, Ford, Original Equipment Manufacturer (OEM)",California,06/21/2021,07/02/2021
8066,Certified Shorthand Reporter and Transcription Services,California,06/21/2021,07/02/2021
8067,ARCHITECTURAL AND ENGINEERING SERVICES FOR DESIGN AND CONSTRUCTION OF AN 12-BED YOUTH CRISIS STABILIZATION FACILITY LOCATED IN GRAHAM'S FORGE,Virginia,06/21/2021,07/02/2021
8068,Guidance & Counseling Mental Health Support and Intervention,Texas,06/21/2021,07/02/2021
8069,Sony Field Camera Accessories,North Carolina,06/21/2021,07/02/2021
8070,NYS M/WBE and SDVOB firms for Hicksville Water District - Wellhead Treatment for Contaminat at Plant No. 8,New York,06/21/2021,07/02/2021
8071,"Multi-Provider, On-Call, As-Needed Lodging & Conference Room Services",California,06/21/2021,07/01/2021
8072,Statewide Leadership Training,California,06/21/2021,07/01/2021
8073,Community Choice Aggregation Analysis,California,06/21/2021,07/09/2021
8074,VMware Support and Maintenance,California,06/21/2021,07/01/2021
8075,Plumbing Supplies,Texas,06/21/2021,07/01/2021
8076,Small Equipment Products (School Nutrition),Georgia,06/21/2021,07/13/2021
8077,TRANSPORTATION CAREERS TRAINING PROGRAM,South Carolina,06/21/2021,07/08/2021
8078,Electrical Supplies,Texas,06/21/2021,07/01/2021
8079,"Radiation Safety, Dose Tracking and Physicist Services",Texas,06/21/2021,07/15/2021
8080,Driveway replacement,Illinois,06/21/2021,07/14/2021
8081,Building Commissioning Consulting Services for Rainier Beach High School Replacement Project,Washington,06/21/2021,07/15/2021
8082,Professional Services for the 2022 Treated Water Renewal and Replacement Study,California,06/21/2021,07/15/2021
8083,HVAC AND FIRE ALARM REPLACEMENT,California,06/21/2021,07/15/2021
8084,Medical Center On-Demand,Virginia,06/21/2021,Not Stated
8085,Ballistic Architectural Upgrades,Texas,06/21/2021,07/13/2021
8086,FLOOD MITIGATION DEMOLITION PROJECT – PHASE VIII,Illinois,06/21/2021,07/16/2021
8087,INTERIOR PAINT AND REPAIRS AT SCATTERED SITES,South Carolina,06/21/2021,07/14/2021
8088,Pre-Doctoral Psychology Interns,Delaware,06/21/2021,07/08/2021
8089,Installation of Six Steel Staircases and Platforms at Sunrise Apartment,Illinois,06/21/2021,07/08/2021
8090,Primary EOC Improvements,Arizona,06/21/2021,07/14/2021
8091,"2021 NCVA VDRPT Track Rehabilitation Project in Boykins, VA",Virginia,06/21/2021,Not Stated
8092,"2021 CWRY VDRPT Track Rehabilitation Project in Suffolk, VA",Virginia,06/21/2021,Not Stated
8093,"PROPERTY DEVELOPMENT PACKAGE TO INCLUDE LAND PURCHASE, DESIGN, AND DEVELOPMENT OF A MULTIPURPOSE YOUTH SPORTS COMPLEX LOCATED IN CLAY COUNTY, FLORIDA",Florida,06/21/2021,07/01/2021
8094,NORTH LONG STREET PAVEMENT OVERLAY,Illinois,06/21/2021,07/07/2021
8095,Notice of Request for Architect/Engineer Qualifications,Mississippi,06/21/2021,07/08/2021
8096,Bus GPS Systems,Mississippi,06/21/2021,07/09/2021
8097,2020-CB-037 BRIDGE GROUP 35 - SMITHFIELD,Rhode Island,06/21/2021,07/09/2021
8098,"Envelopes, Stationery, Business Cards and Memo Pads",New Hampshire,06/21/2021,07/08/2021
8099,CUSTODIAL SERVICE,Illinois,06/21/2021,07/13/2021
8100,Cafeteria Serving Line Equipment,Mississippi,06/21/2021,07/09/2021
8101,RFP - ANATOMICAL PATHOLOGY & LABORATORY DIRECTORSHIP SERVICES,Oklahoma,06/21/2021,07/30/2021
8102,PARKING STRUCTURE MAINTENANCE REPAIRS PROJECT,Illinois,06/21/2021,07/08/2021
8103,HVAC Replacement at La Pintoresca Library,California,06/21/2021,07/15/2021
8104,Copley Square Commercial and Residential Market Analysis,Ohio,06/21/2021,07/20/2021
8105,Harlem CSD 122 - Tennis Court Recoating at Harlem HS,Illinois,06/21/2021,07/06/2021
8106,Gateway Industrial Park Water System,Mississippi,06/21/2021,07/13/2021
8107,PREPOSITIONING CONTRACT FOR OXYGEN,North Carolina,06/21/2021,07/01/2021
8108,OBG CADA ACCESS BARRIER REMOVAL,California,06/21/2021,07/15/2021
8109,Y211 SERVER ROOM IMPROVEMENTS PROJECT,Illinois,06/21/2021,07/13/2021
8110,Steel – Maury Correctional,North Carolina,06/21/2021,07/08/2021
8111,ATTORNEY CASE MANAGEMENT SOFTWARE,North Dakota,06/21/2021,08/02/2021
8112,Adaptive Traffic Control Network – Phase II Traffic Signal Modification at Multiple Corridors,California,06/21/2021,07/09/2021
8113,Rooftop Lease of Rooftop Space for Cell Phone Wireless Transmitters,Massachusetts,06/21/2021,07/29/2021
